epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.9840423464775085,19.54166603088379,11.633333333333333,285,2060,0.8784648187633263,0.8811473794655269,-4192.200658098936,0.7991170354927414
2,0.9725788235664368,22.483333587646484,15.270833333333334,528,2170,0.8042994810971089,0.815689244438286,-4487.166309662405,0.7542423294075736
3,1.0141361951828003,24.350000381469727,16.4,616,2306,0.7891854893908282,0.8008649468596052,-4727.778707471218,0.7387407546294877
4,0.9878444671630859,26.024999618530273,19.108333333333334,859,2264,0.7249439641370478,0.7394078422723556,-4878.53475279326,0.7231948149154938
5,0.92188560962677,27.825000762939453,23.2,1116,2223,0.6657681940700808,0.685151339792029,-4960.664743451686,0.7006783376463324
6,0.7537050247192383,35.19166564941406,38.175,2309,1914,0.4532322993132844,0.4766742814113221,-5634.925995408203,0.6484190132941404
7,0.5530290007591248,50.13333511352539,60.19166666666667,4618,1398,0.23238031914893617,0.24344505824676183,-6088.294105444308,0.4925765942961381
8,0.5481845736503601,62.56666564941406,74.26666666666667,6790,718,0.09563132658497603,0.09907134460175308,-5480.672847343292,0.35430346048091654
9,0.3061119616031647,75.57499694824219,85.76666666666667,8877,192,0.02117102216341383,0.021889439869164373,-4624.009214760692,0.246841872528813
10,0.1168089285492897,87.55000305175781,93.37083333333334,10469,37,0.0035217970683419,0.003645212398378674,-3090.887051326983,0.14205594151625184
11,0.1138046607375145,93.30833435058594,96.58333333333333,11191,6,0.0005358578190586764,0.0005663246979242928,-1780.5992825072888,0.07663465934766046
12,0.0626671314239502,94.55833435058594,97.20416666666667,11342,5,0.0004406451044328897,0.0004706570983978571,-1467.4575834295404,0.0623400607302178
13,0.019541043788194656,95.49166870117188,97.70416666666667,11456,3,0.000261802949646566,0.00027187593246790805,-1326.609328949818,0.05581907060206085
14,0.017900122329592705,96.19999694824219,98.05416666666666,11540,4,0.0003465003465003465,0.00036202342864269534,-1191.4867094215786,0.04974517004010696
15,0.006212613079696894,96.54166412353516,98.2375,11583,2,0.00017263703064307294,0.00017304912943924097,-1052.9793936309966,0.04381396729193533
16,0.013886685483157635,96.59166717529297,98.25416666666666,11588,3,0.0002588214994392201,0.0002785541563735631,-949.194190326547,0.03948045913207429
17,0.0362735353410244,97.18333435058594,98.55833333333334,11660,2,0.0001714971702966901,0.000181634417969299,-865.16713508058,0.035759687618513475
18,0.03398774191737175,97.51667022705078,98.725,11700,2,0.00017091095539224064,0.00018537460552201264,-805.0454840814186,0.03316473361592592
19,0.08082985132932663,97.75833129882812,98.84583333333333,11728,3,0.000255732674111329,0.00027034090441506307,-753.9804995018844,0.030980998228882874
20,0.04205759987235069,98.07499694824219,99.0125,11766,3,0.0002549069589599796,0.00026946579001532376,-712.497441824452,0.029181692544988716
