epoch,loss,accY,accC,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.12184549123048782,13.42,0.28,34,2650,0.9873323397913562,0.9888611620738489,-9361.226818602358,0.8843615903485031
2,0.11395426839590073,17.98,0.455,68,3528,0.9810901001112347,0.9847423062360192,-11845.018063047972,0.8307415878047816
3,0.11858484894037247,23.04,0.54,97,4511,0.9789496527777778,0.9820328328073529,-13662.694254903741,0.7512744065272937
4,0.10522617399692535,29.96,0.77,139,5853,0.9768024032042724,0.9800619794747361,-15912.641580751044,0.6765837387086333
5,0.0951223373413086,33.395,0.71,132,6547,0.9802365623596346,0.9837118687456512,-16331.264593652077,0.6235511902737967
6,0.09269877523183823,37.005,0.815,152,7249,0.9794622348331307,0.9826997237583308,-16746.65609443969,0.5785957916030408
7,0.09874435514211655,41.135,0.91,174,8053,0.9788501276285402,0.9830707814495678,-17075.35241071022,0.5321845603392678
8,0.08136333525180817,44.36,1.06,201,8671,0.9773444544634806,0.9814951913381165,-16818.72258916965,0.48554648994605915
9,0.07729039341211319,48.29,1.135,220,9438,0.9772209567198178,0.9813081646903026,-16479.13519327117,0.43748976371441267
10,0.05919857695698738,52.055,1.195,229,10182,0.9780040341946019,0.9820083416735005,-16001.661779155618,0.3947372808426095
11,0.06862392276525497,55.78,1.345,268,10888,0.9759770527070635,0.9804658389303067,-15428.03584101346,0.3550104116337061
12,0.05749806389212608,59.565,1.52,298,11615,0.9749853101653656,0.9794300356009122,-14918.375770902858,0.3217463872874844
13,0.06034822016954422,62.79,1.59,312,12246,0.9751552795031055,0.9795330465743834,-14006.303276223052,0.28630264118336435
14,0.07113764435052872,65.685,1.61,317,12820,0.975869681053513,0.9799563509175099,-13201.125613197384,0.2577506799016914
15,0.07405102252960205,68.33,1.7,339,13327,0.9751939118981414,0.979961536168024,-12452.567584488888,0.23410450446752717
16,0.04426612704992294,70.44,1.685,335,13753,0.9762208972174901,0.9802034825889854,-11605.407931729082,0.21117588348646477
17,0.05790587142109871,73.21,1.73,345,14297,0.9764376451304466,0.9809485642296792,-11140.093177663475,0.1954500947892512
18,0.05912751704454422,75.045,1.835,364,14645,0.9757478846025718,0.9802113953988693,-10326.865587283417,0.1762975088860696
19,0.048161353915929794,76.595,1.92,383,14936,0.9749983680396893,0.9797663060597279,-9390.082118494425,0.15731401273124385
20,0.0225543063133955,77.44,1.945,389,15099,0.9748837809917356,0.9797319600411992,-9286.304755716947,0.1538870131285035
