epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.34922727942466736,11.34,2.255,26.475,25.94,26.405,372,1896,0.8359788359788359,0.84874677498327,-7274.561987265047,0.8281523313404321
2,0.28004777431488037,21.8,14.84,51.73,51.345,51.425,2713,1647,0.3777522935779816,0.38901567252477304,-12105.528822228795,0.7231844349540368
3,0.20441043376922607,42.86,40.115,74.145,73.68,73.34,7693,879,0.10254316378908072,0.10811921123737557,-16446.1703643593,0.4984626974360017
4,0.2303580790758133,49.58,47.58,78.11,78.325,77.835,9251,665,0.06706333198870512,0.07103870193331861,-16721.14853668344,0.4376371850794664
5,0.1644624024629593,53.965,52.6,80.695,80.95,80.57,10282,511,0.04734550171407394,0.049740470602332866,-16578.997851831875,0.3986447501874445
6,0.15397296845912933,57.51,56.535,82.475,82.775,82.59,11107,395,0.03434185359067988,0.036206919498383346,-16360.050053840909,0.3689638035357286
7,0.24458585679531097,60.3,59.165,83.595,84.145,83.885,11688,372,0.030845771144278607,0.032242544163759025,-16167.28148251315,0.34715884638106304
8,0.2094390094280243,62.42,61.405,84.81,85.125,84.8,12167,317,0.025392502403075938,0.026722828143204123,-15925.307498343298,0.3303421977883721
9,0.13656781613826752,63.59,62.865,85.425,85.885,85.555,12430,288,0.022645069979556533,0.02375817049592929,-15368.364087969892,0.312994997703604
10,0.2123618721961975,64.87,63.965,86.02,86.43,85.975,12690,284,0.021889933713581007,0.02276464100378179,-14797.046097822873,0.2953728189514964
11,0.09094900637865067,65.715,64.95,86.46,86.885,86.39,12881,262,0.01993456592863121,0.020889513387341387,-14559.99581088457,0.2868180207448157
12,0.14557194709777832,67.305,66.575,86.965,87.82,86.96,13224,237,0.017606418542455985,0.018358113784998204,-14388.03464787765,0.2766479886519989
13,0.12118632346391678,67.775,67.19,87.415,87.98,87.31,13348,207,0.015271117668756917,0.015902309253863118,-13878.850727004196,0.2650651412094052
14,0.09659440815448761,68.82,68.205,87.72,88.25,87.79,13544,220,0.015983725661145014,0.01653224976033581,-13777.783492661656,0.25913834464796565
15,0.1923379749059677,69.725,69.175,88.015,88.645,88.345,13744,201,0.014413768375761922,0.01500154568916896,-13641.284327769563,0.25324367630988076
16,0.1063825786113739,70.15,69.55,88.255,88.78,88.535,13817,213,0.01518175338560228,0.015654584149255846,-13416.100225014492,0.2474881078938263
17,0.12124089151620865,70.705,70.13,88.445,89.28,88.585,13951,190,0.013436107771727601,0.013991664519233728,-13116.663851713383,0.23999673317541037
18,0.07920096069574356,71.24,70.61,88.785,89.225,89.055,14048,200,0.01403705783267827,0.014542546998755951,-12977.84187509798,0.235659159638356
19,0.14084088802337646,71.785,71.21,88.98,89.36,89.385,14180,177,0.01232848088040677,0.012747523994215271,-12781.474222496905,0.23029764822002052
20,0.12973852455615997,72.405,71.88,89.26,89.885,89.38,14313,168,0.01160140874249016,0.012059443953198556,-12870.803467860205,0.23000173586433842
