epoch,loss,acc,gt,prob_model,prob_mod_no
1,0.2014119178056717,28.28409767150879,450,-507.1788797890276,0.7415808263535009
2,0.11454102396965027,60.46511459350586,962,-739.1137927037984,0.4717498595785484
3,0.08228413015604019,78.81835174560547,1254,-645.1410630566293,0.3037476662511749
4,0.06507810205221176,85.41797637939453,1359,-607.3392596669512,0.25761016009655785
5,0.06611736118793488,89.88057708740234,1430,-473.84451305383595,0.19011344593486812
6,0.022146735340356827,92.20616149902344,1467,-415.6913100334492,0.16147410039458782
7,0.021289635449647903,94.09176635742188,1497,-375.4603048416133,0.14279170797450297
8,0.061218127608299255,94.72029876708984,1507,-288.7031922547973,0.10875930362822915
9,0.01601237803697586,94.84600830078125,1509,-296.83740287195775,0.11226930777792574
10,0.008932340890169144,97.61156463623047,1553,-239.62183539119047,0.0870830569440641
